coin,bias,strength,reason,entry,exit,stop,current
CFXUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.12,0.12,0.11,0.12
PHAUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.06,0.07,0.06,0.06
ZENTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
IQUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
USUALUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.03,0.03,0.03,0.03
WIFUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.56,0.58,0.54,0.56
RAYUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.86,1.96,1.81,1.86
TNSRUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.07,0.07,0.07,0.07
VINEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.05,0.05,0.05,0.05
ACTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
ANIMEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
COWUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
PEOPLEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
POWRUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.12,0.13,0.12,0.12
ACHUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.01,0.01,0.01,0.01
AIXBTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.1,0.1,0.1,0.1
VIRTUALUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.46,1.53,1.42,1.46
KAITOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.16,1.22,1.13,1.16
JUPUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
CETUSUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.05,0.06,0.05,0.05
PNUTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.14,0.15,0.13,0.14
ORCAUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.5,1.58,1.46,1.5
SYRUPUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.39,0.41,0.37,0.39
SAHARAUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.08,0.08,0.08,0.08
BOMEUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.0,0.0,0.0,0.0
PYTHUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.12,0.12,0.11,0.12
JTOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),1.12,1.18,1.09,1.12
SKYUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.02,0.02,0.02,0.02
KMNOUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.06,0.07,0.06,0.06
AVNTUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.73,0.77,0.71,0.73
RLCUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.88,0.93,0.86,0.88
SEIUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.2,0.21,0.2,0.2
2ZUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.23,0.25,0.23,0.23
CTCUSDT,BULLISH,0.1,MA20 > MA50 (uptrend); MACD < Signal (momentum falling),0.47,0.49,0.45,0.47
